meta_title,meta_description,title,content
"CivicClerk | Change is Good. How to Live it, Love it, and Lead it",,"Change is Good. How to Live it, Love it, and Lead it.","Clerks are essential leaders in local government and are known for their consistency and reliability. However, nothing could have prepared our communities or their leaders for the shifts and changes needed to adjust to an unprecedented global pandemic, many of which were changes to processes and workflows and were technology-oriented.

While some unexpected benefits for staff and citizens have emerged from recent administrative changes—such as the rise of virtual meetings—it doesn’t mean that changes have been easy for those who have established processes and preferences over the course of years or even decades.

If you’re exploring how the past year will impact you and your role as a clerk long-term or hoping to be a positive agent of change among peers who are hesitant to step outside of their comfort zone, this recording will help you:

Assess your fears and feelings about change
Understand why humans are sometimes resistant to positive change like new technology or processes
Identify strategies that you can use every day to lead your organization through change"
2017 CivicReady Webinar 3/23,,Crisis Communication Planning for Local Governments,"Local governments are being asked to do more with less more often. They are also tasked with dealing with a variety of threats that can put their citizens in danger.

What do you do when a crisis impacts your community and threatens to harm people and property and interrupts your regular operations? How do you keep your citizens safe and informed?

Every local government needs to be ready and prepared to communicate before, during, and after a crisis or disaster situation. Crisis communication planning is for every government, large and small.

This webinar discusses: 

Elements of a crisis communication plan
Social media and its role during a crisis situation
Mass communication tools and implementing them in an emergency
"
CivicReady | Best Practices for Using Internal Communication Functionality,,Best Practices for Using Internal Communication Functionality During an Emergency
071918 CivicReady Webinar: IPAWS stand alone,,Maximum Reach. No Subscriptions.,"Learn about the Federal Emergency Management Agency’s (FEMA) Integrated Public Alert and Warning System (IPAWS) and how CivicReady® is now the first provider to offer an IPAWS only option that will allow you to create and send emergency alerts to your citizens and visitors. IPAWS leverages all the nation’s available alert and warning channels without the need for citizens to opt-in. Put this lifesaving communication tool to work for your community and start maximizing the reach of your life-saving notifications.

Join our public safety experts to learn about:

FEMA's Emergency Alerting System, IPAWS. What is it? Who's using it? How to become authorized to use it?
How IPAWS is being used by municipalities to save lives.
The benefits of IPAWS integration with CivicReady and other CivicPlus® citizen engagement solutions.
How your team of CivicReady public safety experts will manage the IPAWS authorization process with FEMA for you as part of the comprehensive implementation process.

You will also see a demonstration of the easy-to-use IPAWS solution, and how quickly life-saving communications can be created and distributed to targeted areas of your community."
CivicReady | How CivicReady Can Power Your Emergency Communications,,Webinar: How CivicReady® Can Power Your Emergency Communications,"Your goal is to be a reliable and trusted source of information and instructions for citizens and staff. To do that, you need an easy-to-use, reliable communication solution that will allow you to reach as many people through as many channels as possible.


We’re all part of a community and understand the need for trusted, time-sensitive communications from our local leaders. It’s why, at CivicPlus®, we’re proud that over 4,000 municipalities rely on our integrated solutions to communicate critical events that impact their community.


Join our CivicReady Solutions Manager, Katie Gennaro, to learn about our integratable mass notification software, and how it’s helping communities like yours keep citizens informed and socially distanced during the ongoing COVID-19 pandemic.
"
CivicReady | Conversations with Clients,,"How Stanton County, KS is Using CivicReady® In its Emergency Response to COVID-19","Every community’s response to the COVID-19 pandemic is personal and unique; however, we believe that shared learning creates stronger responses.

 

Join us on  to hear from special guest Vaughn Lorenson, Stanton County Kansas Emergency Management Director. Vaughn will share how he is using CivicReady as a critical part of his crisis management response strategy, what he has learned about managing COVID-19 crisis communications, and how he plans to continue to keep citizens safe and informed in the weeks ahead.

 

Your Guest: Vaughn Lorenson

Vaughn works as the  Emergency Management Director and Landfill Supervisor for Stanton County, KS. Born and raised in Salina, Vaughn began his career in public service in 1987, working for The Stanton County Sheriff’s Department. He has dedicated much of his career to public safety service, joining the Stanton County Volunteer Fire and Rescue Department in 1988 and working as an Emergency Medical Technician from 1988 to 2002. 

Throughout his career in Stanton County, Vaughn has assisted with many emergency responses in the County, including storms, fires, accidents, and HAZMAT incidents. He has also helped in several responses outside Stanton, including four of the largest fires in Kansas and fires in Colorado and surrounding counties.  

Vaughn serves as a member of the Kansas Division of Emergency Management Training cadre and has taught many of its classes. He has also taught law enforcement classes at Garden City Community College and currently serves as a member of The Kansas Incident Support Team, formally known as the Kansas Incident Management Team. He is a certified Planning Section Chief and serves on its Advisory Committee. Vaughn is the Vice-Chair for the Southwest Kansas Regional Homeland Security Group and a Local Emergency Planning Committee (LEPC) Chair. "
CivicReady | Updated Mass Notification Solutions,,Improved Mass Notification Solutions for Today's Emergency Managers
CivicPlus | Enhance Your Workflows,,"
Webinar: Enhance Your Civic Experiences With 311 CRM and Code Enforcement, Permitting, and Licensing Software Integrations  ","Working closely with governments and communities means receiving and responding to plenty of permit and code enforcement requests. It’s a lengthy process when done manually, so we’ve created a time-saving integration between our award-winning SeeClickFix 311 CRM and Code Enforcement, Permitting, and Licensing solutions.

In this recorded presentation, two of our most knowledgeable SeeClickFix 311 CRM and Code Enforcement software experts discuss the benefits and optimization opportunities of our latest unification between our SeeClickFix 311 CRM and Code Enforcement, Permitting, and Licensing solutions.  




                           

 "
SeeClickFix Conversations: Multi-Channel Communications,,"Introducing Conversations, a Multi-Channel Communications Tool from SeeClickFix"
On-demand Webinar: Engaging Residents with Civic Experiences,,Webinar: Engaging your Residents with Impactful Civic Experiences,"A positive and impactful civic experience is what keeps residents engaging with their local government. Every staff member and department in your organization can contribute to a strategy of increased engagement through focus and commitment to consistently creating and providing positive civic experiences—both big and small, simple and complex—to residents in the community.

In this recording, Customer Sucess Managers, Juliane Fisel, and Dan McLeggon, guide you through some of the ways staff and departments can engage with their public; through the digital tools at their disposal and across all channels utilized by residents."
Governing Through Crisis | Part IX,,Webinar Series: Governing Through Crisis,"In response to the COVID-19 pandemic, many local governments have closed their offices. Now suddenly remote, employees and their workflows/processes must adapt quickly. As a web-based platform, SeeClickFix helps staff to:

Accept requests without being face-to-face
Create pandemic-related categories, e.g., price gouging, public gatherings, and assist-a-neighbor
Gather information about field requests, before heading out, to limit exposure
Route service requests and create work orders online—from anywhere
Set the public’s expectations about service availability
Accept requests for future follow-up

Join Cari Tate, CivicServiceTM Director of Customer Success on Monday, April 27, at 1 p.m. ET (12 CT, 10 a.m. PT) as she shares examples of municipalities keeping their virtual doors open with SeeClickFix.

If you cannot attend this webinar in person, still register, and we will send you a recording of the presentation 48 hours after the live broadcast.

For resources, information, and education about COVID-19, visit our crisis management portal."
Software Integrations Benefits in 2022 | On-demand Webinar,,"Recorded Demo: Software Integration Benefits of the CivicPlus® Agenda and Meeting Management solutions, Online Code Hosting, and Municipal Websites","Software integrations are a vital component in the success of any government technology software stack, but it’s not always easy to know how or what software integrates together.

CivicPlus  is committed to powering and empowering local governments to efficiently operate, serve, and govern through innovative, one-of-a-kind software integrations that are affordable, easy to implement, and save time. 

In this recorded demo, Jillian Algiere, guides you through: 

Why software integrations are crucial to your local government’s success 
The benefits of the CivicPlus Agenda and Meeting Management, Online Code Hosting, and Municipal Websites integration
What CivicPlus customers are saying about these powerful integrations "
CivicPlus | Introducing Your New Public Portal ,,"Our new public portal—integrated with our CivicPlus® Agenda and Meeting Management solution, allows your community members to easily access and navigate local government public meeting information and documentation from a single, customizable, easy-to-use web page.

Oh yeah, and it’s free. 😉 

In this recording, Solution Engineer, Rachelle Cantero covers: 

How easy it is for residents to access meetings and content 
How staff can ensure compliance with public meetings law with transparent documentation 
How much time you will save when residents self-serve their needs, freeing up clerks and staff for strategic initiatives 



 "
CivicPlus Agenda and Meeting Management | Clerk AMA Webinar,,"Webinar:
Calling All Clerks: Ask Us Anything
Saving Time, Saving Money, and Mitigating Risk ","In this recorded question-and-answer session, former clerks turned CivicPlus® Solution Engineers Rachelle Cantero and Stephen French and CivicPlus Vice President and General Manager Eric Grant answer questions and offer insights on how to save time and money and mitigate risk with our integrated solution suite. Rachelle spent the last decade at the Town of Normal, Illinois, as the Deputy Clerk, an Engineering OA, and a Communications Specialist. Before coming to CivicPlus, Stephen spent nearly 25 years as a municipal clerk in Michigan and Ohio.


Watch the recorded discussion and get their unique and informed perspectives on software, tools, and processes that can help you better collaborate with stakeholders and expedite transparent information sharing in your community.

 

About Your Panelists

Rachelle Cantero, Solutions Engineer II, Former Clerk

Rachelle Cantero is a solutions engineer at CivicPlus, focusing on our Agenda and Meeting Management software. Before coming to work in the private sector, she spent 17 years in government at the state, county, and municipal levels, holding positions in community relations, child support enforcement, and as a misdemeanor/juvenile coordinator for the victim witness division. Rachelle spent the last decade at the Town of Normal, Illinois, as the Deputy Clerk, an Engineering OA, and a Communications Specialist. In addition, she studied International Business at Illinois State University.


Stephen French, Solutions Engineer II, Former Clerk

Stephen M. French is a solutions engineer at CivicPlus, focusing on our Agenda and Meeting Management software. Before coming to CivicPlus, he spent nearly 25 years as a municipal clerk in Michigan and Ohio and has served on the board of both state’s Clerks Associations  Stephen has attained the designation of Master Municipal Clerk (MMC) and received a Masters of Public Administration degree from the University of Dayton. 


Eric Grant, Vice President and General Manager

Eric Grant is currently serving CivicPlus as the Vice President and General Manager of both our Clerk Team and our ArchiveSocial Team. Prior to joining CivicPlus, Eric served as the President and CEO of Municipal Code Corporation. Eric also served as a United States Marine as part of First Tank Battalion in 29 Palms, California. Eric lives in Tallahassee, Florida with his wife, Sara and is quickly becoming an empty-nester as his four kids transition from high school to college."
