meta_title,meta_description,title,challenge,solutions,result
"Addison, Texas",,"Digital Transparency Solutions for Addison, TX from CivicPlus®",Challenge: The need for greater digital transparency and accessibility,Solution: Implement an integrated municipal website and Municode Codification ,"Result: Increased functionality, engagement, and features dedicated to transparency"
"Amherst, MA Relies on CivicPlus® Solutions to Power Positive Civic Experiences",,"Amherst, MA Relies on CivicPlus® Solutions to Power Positive Civic Experiences","Challenge: Leverage technology to engage the Town’s diverse population, which includes its many college and university students.",Solutions: Integrated technology from CivicPlus keeps residents informed and creates opportunities for engagement.,"Result: A streamlined process for proactive and impactful citizen communications, especially during the COVID-19 pandemic."
"Apple Valley, Minnesota Obtains CARES Act Funds to Improve Citizen Recreation Access",,"Apple Valley, Minnesota Obtains CARES Act Funds to Improve Citizen Recreation Access","City: Apple Valley, MN","Population: 54,121",Product: CivicRec®
"Arvada, Colorado",,"CivicPlus® Partners with Arvada, CO to Build an Integrated Software Stack",Challenge: Online access to code of ordinances for residents and staff,Solution: Partner with CivicPlus for Municode Codification services,"Result: Anytime, anywhere access to the City's code"
"Ashtabula, OH",,"Ashtabula, OH Saves Resources and Creates Efficiencies with a CivicPlus® Agenda and Meeting Management Solution","Challenge: Manual, time-consuming processes and wasted resources",Solution: Implementation of CivicPlus' Agenda and Meeting Managment solution,"Result: Major time savings, more buy-in, and engagement, and reduction in paper usage"
"Athens-Clarke County, GA Provides Easy Access to Civic Services",,"Athens-Clarke County, GA Provides Easy Access to Civic Services","County: Athens-Clarke County, GA","Population: 124,707",Product: CivicEngage
"Austin, TX",,"​Austin, Texas, Modernizes its Code of Ordinances with CivicPlus®",Challenge: Digital transformation of the City's code of ordinances,Solution: Migrate codes online using Municode Codification and Online Code Hosting,Result: Digital code access for staff and citizens and greater digital self-service
"Banff, AB Highlights Civic Services Community Online",,"Banff, AB Highlights Civic Services of the Community Online","City: Banff, AB","Population: 7,847",Product: CivicPlus Municipal Website
"Beaufort County, South Carolina",,"​Beaufort County, South Carolina, Chooses Municode Codification, Powered by CivicPlus®",Challenge: The need for greater transparency,Solution: Make the County's code of ordinances and other public records easily available online,"Result: Enhanced resident service, access, and accessibility"
"Beaverton, OR Receives Award for Most Transparent Government Website",,"Beaverton, OR Receives Award for Most Transparent Government Website","City: Beaverton, OR","Population: 97,590",Product: CivicEngage
"Bexar County, TX Streamlines Staff Efficiency with Usable Website CMS",,"Bexar County, TX Streamlines Staff Efficiency with Usable Website CMS","County: Bexar County, TX",Population: 1.898 million,Product: CivicPlus Municipal Website
